manufacturer,filament_type,color_name,quantity,spool_profile
Amolen,ABS,Black,1,Amolen 1kg
Amolen,ABS,White,1,Amolen 1kg
Amolen,ABS Glow,Red,1,Amolen 1kg
Amolen,PETG,Black,1,Amolen 1kg
Amolen,PETG,Grey,1,Amolen 1kg
Amolen,PETG,Multicolor Rainbow,1,Amolen 1kg
Amolen,PETG,Red,1,Amolen 1kg
Amolen,PETG,White,1,Amolen 1kg
Amolen,PLA,Apple Red,1,Amolen 1kg
Amolen,PLA,Black,1,Amolen 1kg
Amolen,PLA,Carrot Orange,1,Amolen 1kg
Amolen,PLA,Charcoal Black,1,Amolen 1kg
Amolen,PLA,Chestnut Brown,1,Amolen 1kg
Amolen,PLA,Dark Grey,1,Amolen 1kg
Amolen,PLA,Eggplant Purple,1,Amolen 1kg
Amolen,PLA,Forest Green,1,Amolen 1kg
Amolen,PLA,Fuchsia,1,Amolen 1kg
Amolen,PLA,Ice Blue,1,Amolen 1kg
Amolen,PLA,Koala Grey,1,Amolen 1kg
Amolen,PLA,Lavender Purple,1,Amolen 1kg
Amolen,PLA,Lime Green,1,Amolen 1kg
Amolen,PLA,Ocean Blue,1,Amolen 1kg
Amolen,PLA,Paper White,1,Amolen 1kg
Amolen,PLA,Peach Fuzz,1,Amolen 1kg
Amolen,PLA,Real Gold,1,Amolen 1kg
Amolen,PLA,Red,1,Amolen 1kg
Amolen,PLA,Sakura Pink,1,Amolen 1kg
Amolen,PLA,Sand Beige,1,Amolen 1kg
Amolen,PLA,Sapphire Blue,1,Amolen 1kg
Amolen,PLA,Silver Blue,1,Amolen 1kg
Amolen,PLA,White,1,Amolen 1kg
Amolen,PLA Dual,Black & Gold,1,Amolen 1kg
Amolen,PLA Dual,Blue & Bright Yellow,1,Amolen 1kg
Amolen,PLA Matte,Chocolate Brown,1,Amolen 1kg
Amolen,PLA Matte,Navy Blue,1,Amolen 1kg
Amolen,PLA Matte,Porcelain White,1,Amolen 1kg
Amolen,PLA Matte,Sand Beige,1,Amolen 1kg
Amolen,PLA Matte,Terracotta,1,Amolen 1kg
Amolen,PLA S-Series Glow,Black Green,1,Amolen 1kg
Amolen,PLA S-Series Glow,Red Yellow,1,Amolen 1kg
Amolen,PLA Silk,Silk Baby Blue,1,Amolen 1kg
Amolen,PLA Silk,Silk Black,1,Amolen 1kg
Amolen,PLA Silk,Silk Black Blue,1,Amolen 1kg
Amolen,PLA Silk,Silk Bronze Green,1,Amolen 1kg
Amolen,PLA Silk,Silk Coffee Gold,1,Amolen 1kg
Amolen,PLA Silk,Silk Cucumber Green,1,Amolen 1kg
Amolen,PLA Silk,Silk Fluoro Yellow,1,Amolen 1kg
Amolen,PLA Silk,Silk Gold,1,Amolen 1kg
Amolen,PLA Silk,Silk Gradient Aged Brass,1,Amolen 1kg
Amolen,PLA Silk,Silk Ice Blue,1,Amolen 1kg
Amolen,PLA Silk,Silk Mercury Silver,1,Amolen 1kg
Amolen,PLA Silk,Silk Mint Macaron,1,Amolen 1kg
Amolen,PLA Silk,Silk Neon Green,1,Amolen 1kg
Amolen,PLA Silk,Silk Pink,1,Amolen 1kg
Amolen,PLA Silk,Silk Pumpkin Orange,1,Amolen 1kg
Amolen,PLA Silk,Silk Purple,1,Amolen 1kg
Amolen,PLA Silk,Silk Red Copper,1,Amolen 1kg
Amolen,PLA Silk,Silk Sakura Pink,1,Amolen 1kg
Amolen,PLA Silk,Silk Sapphire Blue,1,Amolen 1kg
Amolen,PLA Silk,Silk Silver Grey,1,Amolen 1kg
Amolen,PLA Silk,Silk White,1,Amolen 1kg
