Manufacturer,Filament Type,Color / name,Source,Swatch
Amolen,ABS,Black,https://www.amolen.com/products/abs-filament-1-75-mm-1kg,#111111
Amolen,ABS,White,https://www.amolen.com/products/abs-filament-1-75-mm-1kg,#F4F4F0
Amolen,ABS Glow,Red,https://www.amolen.com/products/abs-glow-in-the-dark,#D52B2B
Amolen,PETG,Black,https://www.amolen.com/products/petg-basic,#111111
Amolen,PETG,Grey,https://www.amolen.com/products/petg-basic,#777777
Amolen,PETG,Multicolor Rainbow,https://www.amolen.com/products/petg-basic,#718096
Amolen,PETG,Red,https://www.amolen.com/products/petg-basic,#D52B2B
Amolen,PETG,White,https://www.amolen.com/products/petg-basic,#F4F4F0
Amolen,PLA,Apple Red,https://www.amolen.com/products/pla-basic-high-speed,#D52B2B
Amolen,PLA,Black,https://www.amolen.com/products/pla-basic-high-speed,#111111
Amolen,PLA,Carrot Orange,https://www.amolen.com/products/pla-basic-high-speed,#F27A24
Amolen,PLA,Charcoal Black,https://www.amolen.com/products/pla-basic-high-speed,#111111
Amolen,PLA,Chestnut Brown,https://www.amolen.com/products/pla-basic-high-speed,#7A4B2A
Amolen,PLA,Dark Grey,https://www.amolen.com/products/pla-basic-high-speed,#4A4A4A
Amolen,PLA,Eggplant Purple,https://www.amolen.com/products/pla-basic-high-speed,#75458F
Amolen,PLA,Forest Green,https://www.amolen.com/products/pla-basic-high-speed,#2E8B57
Amolen,PLA,Fuchsia,https://www.amolen.com/products/pla-basic-high-speed,#D92A8A
Amolen,PLA,Ice Blue,https://www.amolen.com/products/pla-basic-high-speed,#24558A
Amolen,PLA,Koala Grey,https://www.amolen.com/products/pla-basic-high-speed,#777777
Amolen,PLA,Lavender Purple,https://www.amolen.com/products/pla-basic-high-speed,#75458F
Amolen,PLA,Lime Green,https://www.amolen.com/products/pla-basic-high-speed,#2E8B57
Amolen,PLA,Ocean Blue,https://www.amolen.com/products/pla-basic-high-speed,#24558A
Amolen,PLA,Paper White,https://www.amolen.com/products/pla-basic-high-speed,#F4F4F0
Amolen,PLA,Peach Fuzz,https://www.amolen.com/products/pla-basic-high-speed,#707B83
Amolen,PLA,Real Gold,https://www.amolen.com/products/pla-basic-high-speed,#C9A227
Amolen,PLA,Red,https://www.amolen.com/products/pla-basic-high-speed,#D52B2B
Amolen,PLA,Sakura Pink,https://www.amolen.com/products/pla-basic-high-speed,#E85B7A
Amolen,PLA,Sand Beige,https://www.amolen.com/products/pla-basic-high-speed,#D8B98A
Amolen,PLA,Sapphire Blue,https://www.amolen.com/products/pla-basic-high-speed,#24558A
Amolen,PLA,Silver Blue,https://www.amolen.com/products/pla-basic-high-speed,#6E879D
Amolen,PLA,White,https://www.amolen.com/products/pla-basic-high-speed,#F4F4F0
Amolen,PLA Dual,Black & Gold,https://www.amolen.com/products/pla-basic-dual-color,#111111
Amolen,PLA Dual,Blue & Bright Yellow,https://www.amolen.com/products/pla-basic-dual-color,#24558A
Amolen,PLA Matte,Chocolate Brown,https://www.amolen.com/products/pla-matte,#6D4531
Amolen,PLA Matte,Navy Blue,https://www.amolen.com/products/pla-matte,#24558A
Amolen,PLA Matte,Porcelain White,https://www.amolen.com/products/pla-matte,#F4F4F0
Amolen,PLA Matte,Sand Beige,https://www.amolen.com/products/pla-matte,#D8B98A
Amolen,PLA Matte,Terracotta,https://www.amolen.com/products/pla-matte,#B85C45
Amolen,PLA S-Series Glow,Black Green,https://www.amolen.com/products/pla-s-series-glow-in-the-dark-1-75mm-1kg-2-2lb,#111111
Amolen,PLA S-Series Glow,Red Yellow,https://www.amolen.com/products/pla-s-series-glow-in-the-dark-1-75mm-1kg-2-2lb,#D52B2B
Amolen,PLA Silk,Silk Baby Blue,https://www.amolen.com/products/pla-silk-basic,#24558A
Amolen,PLA Silk,Silk Black,https://www.amolen.com/products/pla-silk-basic,#111111
Amolen,PLA Silk,Silk Black Blue,https://www.amolen.com/products/pla-silk-basic,#111111
Amolen,PLA Silk,Silk Bronze Green,https://www.amolen.com/products/pla-silk-basic,#2E8B57
Amolen,PLA Silk,Silk Coffee Gold,https://www.amolen.com/products/pla-silk-basic,#C9A227
Amolen,PLA Silk,Silk Cucumber Green,https://www.amolen.com/products/pla-silk-basic,#2E8B57
Amolen,PLA Silk,Silk Fluoro Yellow,https://www.amolen.com/products/pla-silk-basic,#F0C419
Amolen,PLA Silk,Silk Gold,https://www.amolen.com/products/pla-silk-basic,#C9A227
Amolen,PLA Silk,Silk Gradient Aged Brass,https://www.amolen.com/products/pla-silk-basic,#707B83
Amolen,PLA Silk,Silk Ice Blue,https://www.amolen.com/products/pla-silk-basic,#24558A
